City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
562245,Gadzhiyevo,RU,69.2551,33.3362,13.33,94,84,4.72
1546102,Port-aux-Français,TF,-49.35,70.2167,39.34,73,97,26.66
2206890,Masterton,NZ,-40.9597,175.6575,52.12,95,100,5.1
6185377,Yellowknife,CA,62.456,-114.3525,9.12,85,100,6.91
211647,Lodja,CD,-3.4833,23.4333,69.96,99,99,1.1
2126682,Bilibino,RU,68.0546,166.4372,-13.02,99,100,2.17
2015306,Tiksi,RU,71.6872,128.8694,-19.32,96,100,7.05
341397,Burē,ET,10.7,37.0667,58.39,79,94,5.21
3894871,Chonchi,CL,-42.6128,-73.8092,65.41,56,27,6.44
1489853,Tazovsky,RU,67.4667,78.7,-34.19,100,26,2.44
4032804,Waitangi,NZ,-43.9535,-176.5597,53.82,60,100,15.26
2886242,Cologne,DE,50.9333,6.95,35.73,88,100,10.36
4030723,Adamstown,PN,-25.066,-130.1015,72.93,77,95,12.01
694467,Serhiyivka,UA,46.0272,30.3768,34.29,63,2,3.8
3372707,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,14.0
3426466,Grytviken,GS,-54.2811,-36.5092,34.41,68,24,10.85
3833367,Ushuaia,AR,-54.8,-68.3,53.26,71,75,20.71
5106841,Albany,US,42.6001,-73.9662,39.72,89,100,3.0
6113406,Prince Rupert,CA,54.3161,-130.3201,49.95,78,100,32.21
5282297,Bethel,US,41.3712,-73.414,45.88,68,0,6.91
4845585,Westport,US,41.1415,-73.3579,47.66,66,0,8.05
2066981,Margaret River,AU,-33.95,115.0667,56.97,78,100,5.93
3874958,Puerto Natales,CL,-51.7236,-72.4875,61.25,51,40,28.77
5519648,Crane,US,31.3974,-102.3501,65.77,21,0,10.31
5563839,Fortuna,US,40.5982,-124.1573,60.94,89,100,10.36
2028078,Aginskoye,RU,51.1,114.53,16.38,86,100,11.92
7522183,Atafu Village,TK,-8.5421,-172.5159,84.27,75,100,13.85
2123628,Magadan,RU,59.5667,150.8,-14.22,90,83,7.18
3883457,Lebu,CL,-37.6167,-73.65,58.12,74,0,17.36
113659,Tabas,IR,33.5959,56.9244,50.22,27,0,4.61
2616914,Miðvágur,FO,62.0511,-7.1939,38.23,75,40,11.5
5697383,McCook,US,40.2019,-100.6257,56.75,40,75,21.85
964420,Port Elizabeth,ZA,-33.918,25.5701,62.6,80,0,12.66
3366880,Hermanus,ZA,-34.4187,19.2345,63.57,71,100,5.73
1847947,Shingū,JP,33.7333,135.9833,49.33,61,100,5.73
2432678,Faya-Largeau,TD,17.9257,19.1043,74.82,12,2,10.31
935215,Saint-Philippe,RE,-21.3585,55.7679,72.99,77,52,5.68
2729907,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,18.41
245785,Abéché,TD,13.8292,20.8324,78.21,11,93,8.28
5983720,Iqaluit,CA,63.7506,-68.5145,13.69,92,75,3.44
1280517,Nagqu Prefecture,CN,31.5,92.0,17.08,94,100,1.12
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,80.46,78,40,5.75
5146062,Ashland,US,40.8167,-82.2665,38.75,88,99,10.27
1251574,Ambalangoda,LK,6.2355,80.0538,78.53,88,93,5.84
2127202,Anadyr,RU,64.75,177.4833,-4.0,83,40,8.95
1545752,Port Mathurin,MU,-19.6833,63.4167,78.42,82,4,11.56
6050066,La Ronge,CA,55.1001,-105.2842,17.85,86,75,4.61
7535941,Olonkinbyen,SJ,70.9221,-8.7187,28.98,75,100,9.28
1503153,Klyuchi,RU,52.2667,79.1667,18.36,75,100,11.39
2155416,Newnham,AU,-41.3833,147.1333,56.46,94,75,9.22
63344,Cadale,SO,2.7603,46.3222,81.32,74,99,17.22
3370726,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,61.54,93,97,22.32
1500933,Labytnangi,RU,66.6572,66.4183,-27.2,100,83,5.39
5864145,Homer,US,59.6425,-151.5483,35.98,76,100,11.99
3415667,Isafjordur,IS,66.0755,-23.124,31.5,83,100,7.0
1055429,Toliara,MG,-23.35,43.6667,73.78,79,1,3.78
2094342,Kavieng,PG,-2.5744,150.7967,82.83,74,100,5.64
2184361,Motueka,NZ,-41.1333,173.0167,60.96,65,67,3.06
2961123,Tralee,IE,52.2704,-9.7026,42.53,78,15,10.87
3397886,Itaquitinga,BR,-7.6678,-35.1017,79.05,77,91,8.46
1737486,Bintulu,MY,3.1667,113.0333,75.61,100,40,0.0
3697441,El Alto,PE,-4.2714,-81.2147,78.46,72,70,14.09
1525490,Belūsovka,KZ,50.1339,82.5239,20.25,79,100,4.47
1507116,Dudinka,RU,69.4058,86.1778,-13.32,96,98,3.0
2175527,Blackmans Bay,AU,-43.0167,147.3167,62.46,76,93,1.01
5975503,Hinton,CA,53.4001,-117.5857,34.77,71,79,7.09
2014624,Udachny,RU,66.4167,112.4,-38.56,72,100,3.76
6354943,Egilsstadir,IS,65.2653,-14.3948,4.91,85,75,2.3
3672778,Pasto,CO,1.2136,-77.2811,64.42,68,64,2.55
3401419,Cuité,BR,-6.4836,-36.1536,79.21,55,39,15.35
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,85.82,66,75,11.5
1015776,Bredasdorp,ZA,-34.5322,20.0403,63.45,67,84,0.54
3386213,Touros,BR,-5.1989,-35.4608,80.22,80,28,10.74
956878,Scottburgh,ZA,-30.2867,30.7532,70.05,92,100,14.2
3372760,Praia da Vitória,PT,38.7333,-27.0667,55.65,82,20,6.17
866062,Iskateley,RU,67.6803,53.1512,-14.98,93,21,8.99
3386177,Trairi,BR,-3.2778,-39.2689,80.98,77,51,12.46
5856050,Holualoa,US,19.6228,-155.9522,76.91,76,40,9.22
3939168,Huarmey,PE,-10.0681,-78.1522,72.93,73,98,11.59
5855809,Hawaiian Paradise Park,US,19.5933,-154.9731,79.11,75,100,11.5
478297,Usogorsk,RU,63.4106,48.6872,2.66,98,96,3.91
2033824,Xilin Hot,CN,43.9667,116.0333,27.46,64,34,20.49
2643044,Margate,GB,51.3813,1.3862,44.01,95,100,1.99
3354077,Opuwo,NA,-18.0607,13.84,75.27,62,100,4.59
3728097,Les Cayes,HT,18.2,-73.75,80.89,76,79,9.17
2013392,Vilyuysk,RU,63.7553,121.6247,-44.0,99,60,4.0
4946620,Palmer,US,42.1584,-72.3287,44.58,75,75,11.5
2185172,Papatowai,NZ,-46.5619,169.4708,52.61,59,5,7.27
1282256,Hithadhoo,MV,-0.6,73.0833,80.94,80,50,5.41
5391295,Salinas,US,36.6777,-121.6555,67.55,57,0,8.05
531257,Malaya Vishera,RU,58.8454,32.2222,6.53,99,97,2.37
4726521,San Patricio,US,28.017,-97.5169,73.0,32,96,3.71
5964378,Grand Falls-Windsor,CA,48.9332,-55.6649,30.51,92,100,1.01
6165406,Thompson,CA,55.7435,-97.8558,21.36,93,100,6.91
777073,Vadsø,NO,70.0744,29.7487,19.56,86,20,5.75
1521293,Lugovoy,KZ,42.9472,72.7644,44.02,68,96,5.82
5367788,Lompoc,US,34.6391,-120.4579,70.48,55,0,5.75
2723503,Bankeryd,SE,57.85,14.1167,18.81,100,100,0.0
7262802,Wailua Homesteads,US,22.0669,-159.378,79.05,79,0,13.8
3404889,Brejo,BR,-3.6844,-42.7503,86.27,57,41,8.41
2145554,Ulladulla,AU,-35.35,150.4667,66.78,67,69,5.21
2681825,Ronneby,SE,56.21,15.276,27.1,93,100,8.05
335035,Harar,ET,9.3094,42.1258,56.48,51,6,5.99
5122534,Jamestown,US,42.097,-79.2353,37.4,92,100,11.5
2242885,Camabatela,AO,-8.1881,15.375,61.59,96,97,1.95
3026644,La Passe,FR,45.5549,-0.8967,46.04,61,95,24.0
1498314,Motygino,RU,58.1831,94.7592,-8.91,89,100,11.79
2661731,Arbon,CH,47.5167,9.4333,32.18,96,100,11.5
1253898,Ukwā,IN,21.9667,80.4667,66.83,72,99,3.53
1267390,Kavaratti,IN,10.5669,72.642,83.55,74,98,13.02
1254046,Tura,IN,25.5198,90.2201,66.09,74,94,3.91
3526766,Isla Aguada,MX,18.7833,-91.4667,82.44,73,9,5.17
3355672,Lüderitz,NA,-26.6481,15.1594,63.91,60,0,19.66
2171099,Codrington,AU,-38.2667,141.9667,59.13,84,84,3.31
2063056,Port Augusta,AU,-32.5,137.7667,78.04,47,20,2.86
218680,Boende,CD,-0.2167,20.8667,68.29,99,92,1.45
1764160,Kampung Sungai Ara,MY,5.327,100.2735,78.71,89,20,4.61
1280757,Laojunmiao,CN,39.8333,97.7333,26.15,41,49,11.41
3407216,Arcoverde,BR,-8.4189,-37.0539,80.04,57,100,9.89
884927,Mutoko,ZW,-17.397,32.2268,69.4,32,59,7.81
1263997,Mahabalipuram,IN,12.6264,80.1722,77.05,81,100,20.24
4944903,Nantucket,US,41.2835,-70.0995,47.77,83,0,6.91
3468100,Caldas Novas,BR,-17.7417,-48.625,68.72,89,86,10.76
573709,Bol’shoye Boldino,RU,55.0059,45.3142,12.49,93,100,10.6
523392,Naryan-Mar,RU,67.6713,53.087,-14.89,93,21,8.99
7262697,Haiku-Pauwela,US,20.9219,-156.3051,80.94,64,20,18.41
2191562,Dunedin,NZ,-45.8742,170.5036,50.81,90,93,7.0
506763,Polyarny,RU,69.1989,33.4478,14.4,92,78,5.21
2118647,Vilyuchinsk,RU,52.9306,158.4028,19.92,86,58,4.25
7261282,Fort Bliss,US,31.8136,-106.4122,63.23,22,20,1.99
1270396,Howrah,IN,22.5892,88.3103,75.2,73,75,0.0
5942913,Dryden,CA,49.7833,-92.7503,30.49,80,100,3.44
3694212,Otuzco,PE,-7.9,-78.5833,55.99,85,100,6.04
1498693,Minusinsk,RU,53.7103,91.6875,8.62,72,3,11.48
3461425,Ilhabela,BR,-23.7781,-45.3581,78.21,81,99,1.45
4033951,Papao,PF,-17.75,-149.55,85.68,81,91,21.41
522745,Nema,RU,57.5067,50.5011,11.93,94,95,8.68
2306774,San Antonio de Palé,GQ,-1.4014,5.6325,80.19,81,100,7.02
2189529,Invercargill,NZ,-46.4,168.35,52.25,54,6,2.68
3629419,Quibor,VE,9.9287,-69.6201,81.57,47,34,13.8
1812621,Dongcun,CN,36.7767,121.1597,41.0,62,50,3.2
2078127,Flying Fish Cove,CX,-10.4217,105.6791,76.68,88,100,11.5
1498087,Nadym,RU,65.5333,72.5167,-33.2,100,96,4.21
4033205,Uturoa,PF,-16.7333,-151.4333,80.46,79,100,20.27
7304591,West Island,CC,-12.1568,96.8225,78.78,78,75,12.66
3420846,Qaqortoq,GL,60.7167,-46.0333,21.56,69,100,10.54
3392242,Petrolina,BR,-9.3986,-40.5008,84.25,58,40,4.61
2647311,Haverfordwest,GB,51.8017,-4.9691,44.04,95,100,5.99
7306511,Enewetak,MH,11.3474,162.3373,81.88,73,100,21.45
2122104,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.45,76,75,8.01
2108857,Gizo Government Station,SB,-8.103,156.8419,79.99,86,100,25.3
5126209,Mastic Beach,US,40.7668,-72.8521,48.29,71,81,1.99
6693122,Mesolongi,GR,38.3702,21.4295,53.73,81,3,10.0
5861897,Fairbanks,US,64.8378,-147.7164,-8.21,80,40,0.0
1277476,Bamboo Flat,IN,11.7,92.7167,78.89,94,100,2.3
2192362,Christchurch,NZ,-43.5333,172.6333,57.13,69,100,16.11
1735106,George Town,MY,5.4112,100.3354,78.76,89,20,4.61
8224783,Stanley,GB,54.868,-1.6985,40.23,95,75,12.66
2210394,Tagiura,LY,32.8817,13.3506,61.72,55,51,5.91
75427,Hadibu,YE,12.65,54.0333,77.27,67,7,16.2
2639996,Island Harbour,GB,50.724,-1.2758,44.4,94,100,10.0
5692814,Watford City,US,47.8022,-103.2832,33.49,93,100,18.41
2274895,Monrovia,LR,6.3005,-10.7969,78.57,81,58,6.55
5134295,Rome,US,43.2128,-75.4557,35.92,94,100,7.0
2173911,Broken Hill,AU,-31.95,141.4333,83.17,22,0,15.28
2063036,Port Lincoln,AU,-34.7333,135.8667,65.03,77,100,5.44
3841309,Pico Truncado,AR,-46.7949,-67.9573,76.1,19,1,14.56
1623651,Tobelo,ID,1.7284,128.0095,79.21,81,13,2.91
3408368,Acaraú,BR,-2.8856,-40.12,81.21,79,81,16.42
3977811,Minas de Barroterán,MX,27.6333,-101.2833,73.58,25,0,4.99
3115941,Mugia,ES,43.1041,-9.2179,46.83,60,8,8.84
4036284,Alofi,NU,-19.0595,-169.9187,84.09,70,75,8.05
2077895,Alice Springs,AU,-23.7,133.8833,67.55,73,0,0.0
3662342,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,89.4,62,20,3.44
3632929,Mariara,VE,10.2964,-67.7181,87.19,74,86,5.88
1623197,Tual,ID,-5.6667,132.75,81.97,77,100,4.18
1737185,Kapit,MY,2.0167,112.9333,73.2,100,100,1.48
964712,Plettenberg Bay,ZA,-34.0527,23.3716,60.24,83,33,5.95
7306518,Utrik,MH,11.2278,169.8474,80.96,77,79,18.16
7306520,Rongelap,MH,11.1635,166.8941,81.91,72,90,19.35
2453514,Ménaka,ML,15.9182,2.4022,80.19,14,76,9.06
575728,Bogatyye Saby,RU,56.0102,50.4483,17.96,92,100,13.53
1259184,Puri,IN,19.8,85.85,75.72,68,100,4.43
5708894,Spring Creek,US,40.7266,-115.5859,48.33,65,57,2.13
1495586,Parabel',RU,58.6978,81.4825,-17.09,98,100,5.01
2090990,Mendi,PG,-6.1761,143.6513,56.75,95,89,2.53
4041552,Saipan,MP,15.1355,145.701,81.3,83,40,14.97
3899361,Arica,CL,-18.475,-70.3042,71.83,64,0,11.5
3451138,Rio Grande,BR,-32.035,-52.0986,66.94,64,30,16.33
2128975,Nemuro,JP,43.3236,145.575,39.92,77,1,14.09
3084074,Gmina Świecie,PL,53.4095,18.4474,18.57,80,40,5.14
877178,Katima Mulilo,NA,-17.5,24.2667,79.79,27,30,6.78
1307741,Myitkyina,MM,25.3833,97.4,62.35,84,98,1.88
5376870,Newman,US,37.3138,-121.0208,61.72,50,67,5.26
2317397,Bandundu Province,CD,-3.3167,17.3667,72.59,96,100,3.69
3457147,Mineiros,BR,-17.5694,-52.5511,78.71,63,90,6.55
3874943,Quellón,CL,-43.1167,-73.6167,56.5,74,4,13.18
659681,Haapajärvi,FI,63.75,25.3333,8.46,99,98,2.08
1850405,Tennō,JP,39.9,139.9667,48.09,79,77,14.14
2088122,Port Moresby,PG,-9.4431,147.1797,81.82,83,20,3.44
4692856,Galveston,US,29.3669,-94.9669,70.34,41,0,8.05
2029656,Undurkhaan,MN,47.3194,110.6556,26.28,76,100,13.51
88562,At Tāj,LY,24.2049,23.2857,61.12,24,0,11.59
6941080,Fort Bragg,US,35.139,-79.006,66.27,35,0,8.05
3874787,Punta Arenas,CL,-53.15,-70.9167,59.11,58,0,25.32
5954718,Flin Flon,CA,54.7682,-101.865,15.64,92,100,5.75
1732945,Cukai,MY,4.25,103.4167,75.99,94,100,3.33
5767918,Pierre,US,44.3683,-100.351,50.9,37,0,31.0
3671437,Caucayá,CO,-0.1934,-74.7819,82.8,73,100,0.51
3372988,Horta,PT,38.5333,-28.6333,63.01,73,75,14.0
3441273,Paso de los Toros,UY,-32.8167,-56.5167,71.13,51,2,15.23
3652764,Puerto Ayora,EC,-0.7393,-90.3518,78.55,86,78,8.01
3489854,Kingston,JM,17.997,-76.7936,86.04,75,20,17.27
2120048,Ust-Nera,RU,64.5667,143.2,-51.32,99,79,4.45
5229794,Mitchell,US,43.7094,-98.0298,46.38,46,0,18.41
8030383,Mermoz Boabab,SN,14.7065,-17.4758,76.78,88,0,9.22
4817825,Pea Ridge,US,38.414,-82.3199,51.17,64,100,1.01
292688,Ar Ruways,AE,24.1103,52.7306,74.5,68,58,8.86
2980080,Saint-François,FR,46.4154,3.9054,47.61,77,100,6.91
3347019,Mossamedes,AO,-15.1961,12.1522,74.57,87,100,5.44
217570,Buta,CD,2.7858,24.73,68.94,94,100,1.05
2262744,Tavira,PT,37.1273,-7.6486,54.27,82,100,1.99
2374583,Bubaque,GW,11.2833,-15.8333,82.99,69,5,12.84
3470137,Belmonte,BR,-15.8631,-38.8828,79.72,81,3,13.22
3391360,Santana,BR,-0.0583,-51.1817,80.78,89,75,2.3
1572151,Nha Trang,VN,12.25,109.1833,77.0,92,100,6.53
6180550,Whitehorse,CA,60.7161,-135.0538,17.83,85,100,10.36
1055433,Tôlanaro,MG,-25.0319,46.9987,75.27,73,75,16.11
5746545,Portland,US,45.5234,-122.6762,61.83,82,100,11.99
235826,Zemio,CF,5.0314,25.1361,69.12,94,90,3.42
680963,Constanța,RO,44.1833,28.65,30.88,59,7,2.37
2122574,Ola,RU,59.5833,151.2833,-15.36,91,84,7.47
3985710,Cabo San Lucas,MX,22.8909,-109.9124,82.51,56,0,9.22
2022773,Khandyga,RU,62.6667,135.6,-59.01,100,68,0.85
964408,Port Saint John's,ZA,-31.6229,29.5448,68.02,89,100,10.49
5879898,Badger,US,64.8,-147.5333,-9.13,81,40,0.0
5557293,Sitka,US,57.0531,-135.33,48.09,61,100,23.02
3602736,Coxen Hole,HN,16.3244,-86.5366,83.48,74,20,11.5
2134814,Sola,VU,-13.8833,167.55,80.87,82,95,15.03
2409914,Bonthe,SL,7.5264,-12.505,80.29,82,55,3.91
2156927,Moree,AU,-29.4667,149.85,73.78,65,0,12.44
3505947,Enriquillo,DO,17.9,-71.2333,85.68,66,11,10.6
3415496,Keflavik,IS,64.0049,-22.5624,37.83,87,75,21.85
5729080,Grants Pass,US,42.439,-123.3284,58.21,86,100,11.5
3395458,Maragogi,BR,-9.0122,-35.2225,79.81,81,91,11.3
4469160,Greenville,US,35.6127,-77.3663,62.33,45,0,4.61
4035715,Avarua,CK,-21.2078,-159.775,78.85,83,75,10.36
103035,Rābigh,SA,22.7986,39.0349,81.21,65,0,5.53
7280414,Cole Harbour,CA,44.6724,-63.4751,32.74,94,40,9.22
2473558,El Maamoura,TN,36.465,10.8061,62.85,60,96,17.72
2018925,Novokruchininskiy,RU,51.7833,113.7667,13.73,95,95,6.6
2188874,Kerikeri,NZ,-35.2268,173.9474,65.91,92,100,2.21
895953,Zambezi,ZM,-13.5432,23.1047,66.11,90,79,6.67
2217351,Ghat,LY,24.9647,10.1728,59.81,28,0,2.01
3587498,Acajutla,SV,13.5928,-89.8275,86.61,63,30,5.08
2112802,Hasaki,JP,35.7333,140.8333,36.0,49,100,5.35
5921147,Chibougamau,CA,49.9168,-74.3659,10.02,79,0,5.75
4513583,Hamilton,US,39.1834,-84.5333,43.52,77,40,10.36
548333,Kirs,RU,59.3388,52.2447,10.31,95,100,5.57
2297810,Mumford,GH,5.2618,-0.759,80.89,84,1,8.25
3418076,Borgarnes,IS,64.5383,-21.9206,37.45,75,100,7.81
3521342,Playa del Carmen,MX,20.6274,-87.0799,83.98,84,75,9.22
156080,Lalago,TZ,-3.45,33.95,67.39,89,91,2.84
3133349,Ulsteinvik,NO,62.3432,5.8487,29.37,82,95,5.01
1220962,Murghab,TJ,38.1702,73.9667,8.87,68,1,2.28
5850027,Lā‘ie,US,21.6477,-157.9253,80.29,76,22,5.01
5881165,Ta`ū,AS,-14.2336,-169.5144,80.83,80,33,20.02
2120864,Susuman,RU,62.7833,148.1667,-45.02,100,98,1.99
5970458,Happy Valley-Goose Bay,CA,53.3168,-60.3315,10.71,79,75,4.61
1863997,Fukuechō,JP,32.6881,128.8419,54.75,72,100,6.8
2019951,Mirny,RU,62.5353,113.9611,-39.77,65,100,7.0
2474506,Zeribet el Oued,DZ,34.6828,6.5111,57.43,50,100,3.06
3653967,Muisne,EC,0.6,-80.0333,79.65,80,74,10.0
4026082,Lázaro Cárdenas,MX,17.9583,-102.2,83.73,64,100,9.19
6357479,Motilla del Palancar,ES,39.5709,-1.9068,43.43,93,37,5.01
1861416,Ishigaki,JP,24.3448,124.1572,69.93,94,75,9.22
153412,Mlandizi,TZ,-6.7,38.7333,75.15,93,49,2.82
215771,Isiro,CD,2.7739,27.616,65.89,99,75,2.42
2325060,Pankshin,NG,9.3333,9.45,70.27,19,86,4.16
3946083,Callao,PE,-12.0667,-77.15,71.89,68,40,11.5
3439189,Capitán Bado,PY,-23.2667,-55.5333,73.0,95,100,4.79
1037370,Mocímboa,MZ,-11.3167,40.35,77.23,87,100,1.95
88533,Awjilah,LY,29.1081,21.2869,61.84,75,0,13.27
251525,Xylokastro,GR,38.0776,22.6317,57.99,66,94,1.01
5291033,Cottonwood,US,34.7392,-112.0099,66.83,29,93,1.99
322051,Banaz,TR,38.7371,29.7519,47.21,81,8,5.32
